pitch
yaw
slope
roll
"[0.03, -0.62, 0.017, 0.0]","[0.01, -0.16, 0.017, 0.0]",255,20,0,0,0,1.2142021656036377
"[0.06, -1.25, 0.017, 0.0]","[0.03, -0.62, 0.017, 0.0]",255,20,0,0,0,1.2312073707580566
"[0.1, -2.03, 0.017, 0.0]","[0.06, -1.25, 0.017, 0.0]",255,20,0,0,0,1.2482163906097412
"[0.15, -2.97, 0.017, 0.0]","[0.1, -2.03, 0.017, 0.0]",255,20,0,0,0,1.2652206420898438
"[0.21, -4.07, 0.017, 0.0]","[0.15, -2.97, 0.017, 0.0]",255,20,0,0,0,1.2822253704071045
"[0.27, -5.34, 0.017, 0.0]","[0.21, -4.07, 0.017, 0.0]",255,20,0,0,0,1.2992289066314697
"[0.27, -5.34, 0.017, 0.0]","[0.27, -5.34, 0.017, 0.0]",255,-20,0,0,0,1.3162329196929932
"[0.34, -6.6, 0.017, 0.0]","[0.27, -5.34, 0.017, 0.0]",255,20,0,0,0,1.3332371711730957
"[0.41, -8.04, 0.017, 0.0]","[0.34, -6.6, 0.017, 0.0]",255,20,0,0,0,1.350240707397461
"[0.49, -9.63, 0.017, 0.0]","[0.41, -8.04, 0.017, 0.0]",255,20,0,0,0,1.3672103881835938
"[0.58, -11.39, 0.017, 0.0]","[0.49, -9.63, 0.017, 0.0]",255,20,0,0,0,1.3839097023010254
"[0.67, -13.32, 0.017, 0.0]","[0.58, -11.39, 0.017, 0.0]",255,20,0,0,0,1.400913953781128
"[0.67, -13.32, 0.017, 0.0]","[0.67, -13.32, 0.017, 0.0]",255,20,0,0,0,1.416917085647583
"[0.78, -15.57, 0.017, 0.0]","[0.67, -13.32, 0.017, 0.0]",255,20,0,0,0,1.4339210987091064
"[0.9, -17.99, 0.017, 0.0]","[0.78, -15.57, 0.017, 0.0]",255,-20,0,0,0,1.4509246349334717
"[1.02, -20.28, 0.017, 0.0]","[0.9, -17.99, 0.017, 0.0]",255,20,0,0,0,1.467928409576416
"[1.14, -22.75, 0.017, 0.0]","[1.02, -20.28, 0.017, 0.0]",255,20,0,0,0,1.484931468963623
"[1.26, -25.39, 0.017, 0.0]","[1.14, -22.75, 0.017, 0.0]",255,20,0,0,0,1.5019357204437256
"[1.4, -28.19, 0.017, 0.0]","[1.26, -25.39, 0.017, 0.0]",255,20,0,0,0,1.518939733505249
